mes,abra,A/C/F,d1,d2,H,Perim elip,sup elip cm2,sup elip m2 (solo elipse),PROF,sup abra cm2 (elip+prof),sup m2 (elip+prof),Cat Tam,diag,NIVEL,C/agua,Cat Prof,Sp,# spp,Categoría Riq,c/s veg,Núm. Ind.,Plántulas,Fondo,Pared,Periferia,d1,d2,cob m2,cob cm2,,,,,,,,,,,,
01/01/2009,1.25,,,,,,,,,,,,,,,,Schoenus,,,,,,,1,0,3,5,0.0011781,11.781,,,,,,,,,,,,
01/01/2009,1.25,,,,,,,,,,,,,,,,Schoenus,,,,,,,1,0,5,3,0.0011781,11.781,,,,,,,,,,,,
01/01/2009,1.25,,,,,,,,,,,,,,,,Schoenus,,,,,,,1,0,5,6,0.0023562,23.562,,,,,,,,,,,,
01/01/2009,1.25,,,,,,,,,,,,,,,,Schoenus,,,,,,,1,0,4,3,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.25,,,,,,,,,,,,,,,,Schoenus,,,,,,,1,0,3,3,0.00070686,7.0686,,,,,,,,,,,,
01/01/2009,1.25,,,,,,,,,,,,,,,,Schoenus,,,,,,,1,0,3,3,0.00070686,7.0686,,,,,,,,,,,,
01/01/2009,1.26,1,34,45,0.019387919,124.695118,1201.659,0.120,19,3570.866,0.357,3,,0,0,1,Schoenus,1,1,1,4,,1,1,0,2,1,0.00015708,1.5708,,,,,,,,,,,,
01/01/2009,1.26,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,3,43,0.01013166,101.3166,,,,,,,,,,,,
01/01/2009,1.26,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,3,4,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.27,1,20,27,0.022181983,74.23740781,424.115,0.042,31,2725.475,0.273,1,,8,1,2,Distichlis,3,3,1,1,,,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.27,,,,,,,,,,,,,,,,Schoenus,,,,,,,,1,3,2,0.00047124,4.7124,,,,,,,,,,,,
01/01/2009,1.27,,,,,,,,,,,,,,,,Samolus,,,,1,,,,1,5,3,0.0011781,11.781,,,,,,,,,,,,
01/01/2009,1.28,1,12,31,0.195240671,70.88344662,292.168,0.029,29,2347.788,0.235,1,,5,1,1,Samolus,1,1,1,4,,1,1,1,8,13,0.00816816,81.6816,,,,,,,,,,,,
01/01/2009,1.28,,,,,,,,,,,,,,,,Samolus,,,,,,,,,6,7,0.00329868,32.9868,,,,,,,,,,,,
01/01/2009,1.28,,,,,,,,,,,,,,,,Samolus,,,,,,,,,3,4,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.28,,,,,,,,,,,,,,,,Samolus,,,,,,,,,3,5,0.0011781,11.781,,,,,,,,,,,,
01/01/2009,1.28,,,,,,,,,,,,,,,,Distichlis,,,,,,,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.28,,,,,,,,,,,,,,,,Flaveria,,,,,,,1,,seco,seco,seco,seco,,,,,,,,,,,,
01/01/2009,1.28,,,,,,,,,,,,,,,,Schoenus,,,,,,,,,7,20,0.0109956,109.956,,,,,,,,,,,,
01/01/2009,1.29,1,16,20,0.012345679,56.72333578,251.327,0.025,8,705.114,0.071,1,,0,0,1,Distichlis,1,1,1,1,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.3,0,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,cerrada,,,,,,,,,,,,
01/01/2009,1.3O,1,15,22,0.035792549,58.64069899,259.181,0.026,30,2018.402,0.202,1,,7,1,1,Samolus,1,1,1,5,2,1,,1,5,12,0.0047124,47.124,,,,,,,,,,,,
01/01/2009,1.3O,,,,,,,,,,,,,,,,Samolus,,,,,,,,0,2,4,0.00062832,6.2832,,,,,,,,,,,,
01/01/2009,1.3O,,,,,,,,,,,,,,,,Samolus,,,,1,,,,1,6,5,0.0023562,23.562,,,,,,,,,,,,
01/01/2009,1.31,1,22,18,0.01,62.98903113,311.018,0.031,9,877.919,0.088,1,,0,0,1,Distichlis,2,2,1,,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.31,,,,,,,,,,,,,,,,Schoenus,,,,,,1,,0,3,2,0.00047124,4.7124,,,,,,,,,,,,
01/01/2009,1.32,1,16,14,0.004444444,47.17626424,175.929,0.018,10,647.692,0.065,1,,0,0,1,Schoenus,2,2,1,,1,1,,0,8,1,0.00062832,6.2832,,,,,,,,,,,,
01/01/2009,1.32,,,,,,,,,,,,,,,,Distichlis,,,,1,,,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.32,,,,,,,,,,,,,,,,Schoenus,,,,3,,,,1,0.5,0.5,0.000019635,0.19635,,,,,,,,,,,,
01/01/2009,1.33,1,30,32,0.001040583,97.41470933,753.982,0.075,26,3286.765,0.329,2,,5,1,1,Distichlis,1,1,1,1,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.34,1,32,30,0.001040583,97.41470933,753.982,0.075,34,4066.082,0.407,2,,12,1,2,Distichlis,3,3,1,,,,,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.34,,,,,,,,,,,,,,,,Flaveria,,,,3,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.34,,,,,,,,,,,,,,,,Samolus,,,,3,,,1,0,12,3,0.00282744,28.2744,,,,,,,,,,,,
01/01/2009,1.34,,,,,,,,,,,,,,,,Samolus,,,,,,,1,0,4,3,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.34,,,,,,,,,,,,,,,,Samolus,,,,,6,,1,0,0.1,0.1,4.7124E-06,0.047124,,,,,,,,,,,,
01/01/2009,1.35,1,17,12,0.029726516,45.89226086,160.221,0.016,10,619.144,0.062,1,,0,0,1,Distichlis,3,3,1,,,1,,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.35,,,,,,,,,,,,,,,,Schoenus,,,,6,,1,1,1,0.5,0.5,0.000019635,0.19635,,,,,,,,,,,,
01/01/2009,1.35,,,,,,,,,,,,,,,,Samolus,,,,1,,,1,0,3,3,0.00070686,7.0686,,,,,,,,,,,,
01/01/2009,1.35,,,,,,,,,,,,,,,,Samolus,,,,,6,,1,1,0.1,0.1,4.7124E-06,0.047124,,,,,,,,,,,,
01/01/2009,1.36,1,42,29.5,0.030563842,113.1717604,973.108,0.097,17,2897.028,0.290,2,,0,0,1,Schoenus,3,3,1,2,,1,1,0,3,10,0.0023562,23.562,,,,,,,,,,,,
01/01/2009,1.36,,,,,,,,,,,,,,,,Schoenus,,,,2,,,,1,0.5,0.5,0.000019635,0.19635,,,,,,,,,,,,
01/01/2009,1.36,,,,,,,,,,,,,,,,Samolus,,,,3,,,1,1,4,4,0.00125664,12.5664,,,,,,,,,,,,
01/01/2009,1.36,,,,,,,,,,,,,,,,Samolus,,,,,,,,0,3,5,0.0011781,11.781,,,,,,,,,,,,
01/01/2009,1.36,,,,,,,,,,,,,,,,Samolus,,,,,,,,0,3,3,0.00070686,7.0686,,,,,,,,,,,,
01/01/2009,1.36,,,,,,,,,,,,,,,,Samolus,,,,,10,,,1,0.1,0.1,0.000007854,0.07854,,,,,,,,,,,,
01/01/2009,1.37,1,42,49,0.00591716,143.1539974,1616.349,0.162,22,4765.737,0.477,3,,3,1,1,Flaveria,2,2,1,2,,,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.37,,,,,,,,,,,,,,,,Samolus,,,,,3,,,1,0.1,0.1,2.3562E-06,0.023562,,,,,,,,,,,,
01/01/2009,1.38,1,35,22,0.052016005,90.7035444,604.757,0.060,15,1965.310,0.197,2,,0,0,1,Schoenus,3,3,1,1,,1,,0,0.5,0.5,0.000019635,0.19635,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Schoenus,,,,6,,1,1,0,0.5,0.5,0.000019635,0.19635,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,0.5,0.5,0.000019635,0.19635,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,0.5,0.5,0.000019635,0.19635,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,3,3,0.00070686,7.0686,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,2,1,0.00015708,1.5708,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Flaveria,,,,,2,,1,0,0.1,0.1,1.5708E-06,0.015708,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Samolus,,,,5,,1,1,0,4,3,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Samolus,,,,,,,,0,2,2,0.00031416,3.1416,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Samolus,,,,,,,,0,8,3,0.00188496,18.8496,,,,,,,,,,,,
01/01/2009,1.38,,,,,,,,,,,,,,,,Samolus,,,,,16,,1,0,0.1,0.1,1.25664E-05,0.125664,,,,,,,,,,,,
01/01/2009,1.39,1,18,28,0.047258979,73.11287659,395.841,0.040,19,1784.985,0.178,1,,0,0,1,Flaveria,2,2,1,,1,1,,0,0.1,0.1,0.007854,78.54,,,,,,,,,,,,
01/01/2009,1.39,,,,,,,,,,,,,,,,Samolus,,,,,19,1,1,1,0.1,0.1,1.49226E-05,0.149226,,,,,,,,,,,,
01/01/2009,1.4,1,30,24,0.012345679,85.08500367,565.487,0.057,40,3968.887,0.397,2,,25.5,1,2,Schoenus,3,3,1,2,,1,,0,0.5,0.5,0.000019635,0.19635,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Schoenus,,,,,,,,0,5,4,0.0015708,15.708,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Samolus,,,,,,1,,0,3,2,0.00047124,4.7124,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Samolus,,,,,,1,1,0,6,5,0.0023562,23.562,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Samolus,,,,,,1,1,0,5,3,0.0011781,11.781,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Samolus,,,,,,1,1,0,4,3,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Samolus,,,,,,1,1,0,4,2,0.00062832,6.2832,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Samolus,,,,,,1,1,0,4,3,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Samolus,,,,,,1,1,0,6,6,0.00282744,28.2744,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Samolus,,,,,,1,1,0,5,4,0.0015708,15.708,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Distichlis,,,,,,1,1,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.4,,,,,,,,,,,,,,,,Schoenus,,,,1,,1,,0,4,1,0.00031416,3.1416,,,,,,,,,,,,
01/01/2009,1.4O,1,19,21,0.0025,62.87112912,313.374,0.031,31,2262.379,0.226,1,,12,1,2,Schoenus,3,3,1,1,,1,1,0,9,5,0.0035343,35.343,,,,,,,,,,,,
01/01/2009,1.4O,,,,,,,,,,,,,,,,Samolus,,,,15,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.4O,,,,,,,,,,,,,,,,Samolus,,,,,,,,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.4O,,,,,,,,,,,,,,,,Samolus,,,,,,,,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.4O,,,,,,,,,,,,,,,,Samolus,,,,,5,,,1,0.1,0.1,0.000003927,0.03927,,,,,,,,,,,,
01/01/2009,1.4O,,,,,,,,,,,,,,,,Distichlis,,,,,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.4O,,,,,,,,,,,,,,,,Schoenus,,,,4,,,1,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
