years,month,sinkholes,level,algas,Cirsium,Dasylirion,Distichlis,Erigeron,Eustoma,Flaveria,Haploestes,nada,Nerysirenia,Polygala,Prosopis,Sabatia,Samolus,Schoenus,Sesuvium,Sporobolus,Total general
2009,ene,1.61,0,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.61,(en blanco),,,,,,,7.85E-07,,,,,,,0.000007854,7.85E-07,,,9.42E-06
2009,ene,1.62,0,,,,,,,,,,,,,,0.00031416,,,,0.00031416
2009,ene,1.63,1,,,,,,,,,0,,,,,,,,,0
2009,ene,1.64,0,,,,,,,,,,,,,,0.00047124,,,,0.00047124
2009,ene,1.64,(en blanco),,,,,,,7.85E-07,,,,,,,6.28E-06,,,7.85E-07,0.000007854
2009,ene,1.65,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.65,(en blanco),,,,,,,,,,,,,,1.65E-05,7.85E-07,,,1.73E-05
2009,ene,1.66,0,,,,,,,,,,,,,,0.0094248,,,,0.0094248
2009,ene,1.66,(en blanco),,,,,,,,,,,,,,3.14E-06,,,7.85E-07,0.000003927
2009,ene,1.67,0,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.68,4,,,,,,,,,,,,,,0.0094248,,,,0.0094248
2009,ene,1.68,(en blanco),,,,,,,7.85E-07,,,,,,,8.64E-06,,,,9.42E-06
2009,ene,1.69,15,,,,,,,,,,,,,,,,,0.0015708,0.0015708
2009,ene,1.69,(en blanco),,,,,,,,,,,,,,0.00094248,,,,0.00094248
2009,ene,1.7,7,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.7,(en blanco),,,,0.0027489,,,0,,,,,,,,,,,0.0027489
2009,ene,1.71,47,,,,0.251328,,,,,,,,,,,,,,0.251328
2009,ene,1.71,(en blanco),,,,,,,0,,,,,,,0.052424665,,,,0.052424665
2009,ene,1.72,2,,,,,,,,,,,,,,0.01633632,,,,0.01633632
2009,ene,1.72,(en blanco),,,,,,,,,,,,,,0.005737347,,,,0.005737347
2009,ene,1.73,4,,,,0.007854,,,,,,,,,,,,,,0.007854
2009,ene,1.73,(en blanco),,,,0.121737785,,,0,0.00094248,,,,,,0.016106198,,,,0.138786463
2009,ene,1.74,0,,,,,,,,,,,,,,,0.47124,,,0.47124
2009,ene,1.74,(en blanco),,,,,,,0,,,,,,,1.34E-05,7.85E-07,,,1.41E-05
2009,ene,1.75,20,,,,,,,,,,,,,,,0.15456672,,,0.15456672
2009,ene,1.75,(en blanco),,,,,,,,,,,,,,0.005499371,,,,0.005499371
2009,ene,1.76,0,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.76,(en blanco),,,,,,,7.85E-07,,,,,,,0.036842329,,,0.0094248,0.046267914
2009,ene,1.77,8,,,,,,,,,,,,,,,0.3251556,,,0.3251556
2009,ene,1.77,(en blanco),,,,,,,,,,,,,,0.001965071,,,,0.001965071
2009,ene,1.78,0,,,,,,,,,,,,,,0.0023562,,,,0.0023562
2009,ene,1.79,0,,,,0.03133746,,,,,,,,,,,,,,0.03133746
2009,ene,1.79,(en blanco),,,,,,,7.85E-07,,,,,,,0.010371992,,,,0.010372778
2009,ene,1.8,5,,,,,,,,,,,,,,0.00023562,,,,0.00023562
2009,ene,1.8,(en blanco),,,,0,,,,,,,,,,,,,,0
2009,ene,1.81,0,,,,0.19635,,,,,,,,,,,,,,0.19635
2009,ene,1.82,15,,,,,,,,,,,,,,,1.67635776,,,1.67635776
2009,ene,1.82,(en blanco),,,,,,,,,,,,,,1.57E-06,,,,1.57E-06
2009,ene,1.83,10,,,,,,,,,,,,,,,0.14239302,,,0.14239302
2009,ene,1.83,(en blanco),,,,0.0412335,,,0.0023562,,,,,,,0.022975306,0.06581652,,0,0.132381526
2009,ene,1.84,14,,,,,,,,,,,,,,,7.85E-07,,,7.85E-07
2009,ene,1.85,10,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.86,11,,,,,,,,,,,,,,,0.989604,,,0.989604
2009,ene,1.86,(en blanco),7.85E-07,,,,,,7.85E-07,,,,,,,0.024132986,0.06554163,,0.035343,0.125019187
2009,ene,1.87,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.87,(en blanco),,,,,,,0,,,,,,,0.03322242,0.000019635,,0.00494802,0.038190075
2009,ene,1.88,0,,,,,,,,,,,,,,0.00777546,,,,0.00777546
2009,ene,1.88,(en blanco),,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.89,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
